Product ID,Store ID,Price,Sales Quantity,Month,Weekday,Is_Weekend,Is_EndOfMonth,Promotions_No,Promotions_Yes,Seasonality Factors_Festival,Seasonality Factors_Holiday,Seasonality Factors_Missing,External Factors_Competitor Pricing,External Factors_Economic Indicator,External Factors_Missing,External Factors_Weather,Demand Trend_Decreasing,Demand Trend_Increasing,Demand Trend_Stable,Customer Segments_Budget,Customer Segments_Premium,Customer Segments_Regular,Store_Avg_Sales,Product_Avg_Sales,Prediction,Lower,Upper,Alert,Month_Name
4277,48,24.38,330,1,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,288.4157303370786,330.0,322.9272917521425,127.75757028331216,518.0970132209728,-,Jan
5540,10,74.98,334,4,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,252.816091954023,334.0,330.8979594770315,221.411510844252,440.38440810981103,-,Apr
5406,67,24.83,429,1,3,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,246.82828282828282,280.3333333333333,336.8013794727129,156.71619689951842,516.8865620459073,-,Jan
5617,17,13.41,298,4,3,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,237.84782608695653,298.0,296.2107344846993,124.68374320561307,467.73772576378553,-,Apr
3480,33,94.96,344,12,5,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,242.02727272727273,277.5,300.2303253351279,125.2522802051939,475.2083704650619,-,Dec
7315,9,59.54,336,11,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,251.05050505050505,171.66666666666666,279.2638026073336,116.13073707389029,442.396868140777,-,Nov
2902,58,35.61,475,11,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,244.0,225.33333333333334,312.75301726342025,56.321211272249,569.1848232545915,-,Nov
6892,19,55.03,491,1,3,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,247.2,253.33333333333334,369.2865284894871,124.63568187593151,613.9373751030428,-,Jan
4497,33,33.53,388,10,4,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,242.02727272727273,350.25,374.4184469883853,259.32689458325865,489.509999393512,-,Oct
8079,26,83.65,475,10,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,231.72,475.0,474.51420089997714,460.1033625612167,488.92503923873755,Hot product,Oct
3900,36,31.01,434,5,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,237.6036036036036,329.5,339.83825412616034,192.17477747465065,487.50173077767,-,May
6894,78,27.17,29,4,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,257.55555555555554,29.0,28.633964791134225,22.820709864245064,34.44721971802338,-,Apr
7767,44,15.8,397,7,5,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,248.06593406593407,397.0,409.3746086431958,331.44767676576095,487.3015405206307,Hot product,Jul
9582,67,79.15,71,6,6,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,246.82828282828282,230.0,185.9973487075658,0.0,412.27115410502523,-,Jun
9817,2,52.82,467,5,4,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,257.39252336448595,417.0,397.610431040784,319.10707495522695,476.1137871263411,-,May
3845,79,65.58,299,2,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,246.81052631578947,283.0,308.11504277601057,195.63453858665508,420.59554696536605,-,Feb
1206,82,36.76,322,3,5,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,237.4878048780488,304.5,304.4736028801176,165.71728981352592,443.2299159467093,-,Mar
6606,87,92.94,95,5,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,239.3578947368421,95.0,82.15084585765689,0.0,186.35773198846175,-,May
2197,59,84.65,438,12,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,243.83035714285714,375.5,398.17506119566383,263.5521055398898,532.7980168514379,-,Dec
5705,80,15.72,416,8,4,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,235.48888888888888,416.0,412.3091890142964,363.6635034589453,460.95487456964753,Hot product,Aug
4540,78,86.78,494,8,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,257.55555555555554,272.5,286.9335792155441,92.06690766210431,481.8002507689839,-,Aug
4784,51,80.55,498,11,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,248.61818181818182,498.0,498.03,497.44494738698126,498.6150526130187,Hot product,Nov
3265,12,31.6,158,1,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,236.44642857142858,206.5,167.24164924942133,21.564189277051327,312.91910922179136,-,Jan
4085,85,34.55,494,12,5,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,243.6946564885496,494.0,493.91,492.7979698565237,495.02203014347634,Hot product,Dec
6410,27,81.72,381,12,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,249.55140186915887,300.3333333333333,341.1066298105241,196.3596261475438,485.85363347350443,-,Dec
4740,21,34.78,67,7,6,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,232.1860465116279,123.0,92.71891079668832,0.7344709470078072,184.70335064636885,-,Jul
9964,96,65.22,252,12,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,291.23853211009174,252.0,258.2361255261079,87.47986950997162,428.9923815422442,-,Dec
2288,17,39.79,140,11,4,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,237.84782608695653,325.3333333333333,234.76224345698404,35.19649653321406,434.32799038075404,-,Nov
5324,47,66.76,71,5,5,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,243.9304347826087,280.0,191.9310860065802,14.319353370900757,369.5428186422596,-,May
6592,28,98.12,378,8,4,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,229.83898305084745,378.0,355.21305485038755,191.89803643036223,518.5280732704128,-,Aug
5840,91,25.74,307,6,2,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,251.35294117647058,307.0,310.8813784162185,173.6950121241564,448.06774470828066,-,Jun
8498,59,19.82,273,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,243.83035714285714,273.0,256.9694874144672,53.84410490807858,460.09486992085584,-,Jan
2338,90,46.38,230,7,2,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,247.02912621359224,176.0,193.68510470584772,77.18755045393985,310.1826589577556,-,Jul
8532,72,93.36,2,9,6,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,268.20952380952383,144.0,131.4931555582355,0.0,280.51756071928673,-,Sep
9185,51,79.44,333,3,4,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,248.61818181818182,280.3333333333333,296.76267708611203,174.4788221769113,419.04653199531276,-,Mar
5691,62,50.95,352,5,4,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,247.95098039215685,327.6666666666667,323.192434635634,185.11636798794467,461.26850128332336,-,May
6335,70,58.89,158,3,6,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,267.3611111111111,316.0,324.69794088259226,160.0909857363279,489.30489602885666,-,Mar
1355,59,51.9,46,3,4,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,243.83035714285714,129.5,156.5904536743181,0.2716343262167129,312.9092730224195,-,Mar
9700,49,91.0,228,5,5,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,253.73,260.0,236.4804060710581,89.61606057405001,383.34475156806616,-,May
4783,50,86.17,215,2,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,253.4678899082569,215.0,233.01884284445003,33.029535928800215,433.00814976009985,-,Feb
8997,23,25.26,437,5,4,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,233.98901098901098,437.0,439.29794605959347,413.1490954092438,465.44679670994316,Hot product,May
6985,78,7.55,455,8,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,257.55555555555554,344.3333333333333,406.8196047932142,272.22831697175377,541.4108926146746,Hot product,Aug
9816,92,58.8,225,2,6,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,243.01030927835052,225.0,213.78328810073796,66.57240555212383,360.9941706493521,-,Feb
6739,5,12.65,317,6,4,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,231.74257425742573,219.0,282.8161094556356,157.71500278897338,407.9172161222979,-,Jun
3824,7,18.38,305,4,5,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,232.60204081632654,304.5,313.60777733441364,199.48568020129534,427.72987446753194,-,Apr
5747,98,6.04,234,4,5,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,236.21698113207546,182.5,204.6564186019737,66.24534807078965,343.0674891331578,-,Apr
9141,29,37.49,84,2,4,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,250.38392857142858,84.0,85.18234576908823,49.89104744895974,120.47364408921672,-,Feb
9801,21,11.71,369,3,5,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,232.1860465116279,352.5,349.1213505516282,183.08789202720806,515.1548090760484,-,Mar
7579,37,48.0,353,1,5,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,238.40697674418604,305.0,307.7418164455094,181.94025564496044,433.5433772460584,-,Jan
1282,8,48.4,80,11,6,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,241.20192307692307,186.2,145.5290876775148,0.0,325.23728857992836,-,Nov
2214,36,16.43,444,5,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,237.6036036036036,411.0,404.6812632176059,333.09107946584214,476.2714469693696,Hot product,May
1675,23,13.52,203,11,4,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,233.98901098901098,234.5,217.7594060088551,77.5069602126994,358.0118518050108,-,Nov
6460,16,5.09,29,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,259.5897435897436,67.5,42.52392424242424,0.0,103.80347274046983,-,Feb
7144,64,17.46,102,12,3,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,240.1734693877551,102.0,92.98459108007808,28.586134157420588,157.38304800273556,-,Dec
9868,73,81.66,357,11,4,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,263.9051724137931,357.0,353.62956538789825,242.75153563571737,464.50759514007916,-,Nov
9222,4,26.71,477,8,6,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,274.06363636363636,441.5,453.3480555555556,387.9614353761919,518.7346757349194,Hot product,Aug
8158,97,96.2,441,10,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,229.45882352941177,414.0,426.65106086011906,363.0028843461231,490.299237374115,Hot product,Oct
8688,58,84.72,163,1,5,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,244.0,279.6666666666667,240.86064739120584,46.5270016122372,435.1942931701745,-,Jan
2230,49,40.71,233,9,3,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,253.73,197.33333333333334,195.07914453867994,19.204824553711916,370.953464523648,-,Sep
9394,85,26.78,240,10,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,243.6946564885496,240.0,240.46066920992018,28.816693735014752,452.10464468482564,-,Oct
